sentiment,content
worry,no one ever gave me the info I'm sad
happiness,Doing very well thank you very much - spending a lot of time behind the PC but with a focus and determination
worry,i wanna go home
neutral,sayid could be dead.
worry,"I've been really tough, but it still sucks to live 5000 miles away from your family when you crave for Korean homemade meal."
happiness,Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined
surprise,tut tut. Isn't charging just fun. Thr new palm pre charging platform looks nifty tho.
neutral,170th update
sadness,What can twitter do for me
neutral,back from school. Ms Suhana's last day as our FT OCU was okay. I'm playing ALTNOY over and over again.
sadness,Its time for me to pack up at work now and have not had much time for twitter! Thank you for any follow fridays. Be back later!
fun,"Perfect day: flute quartets in the morning, web marketing in the afternoon with Barrie, and Star Trek in the evening"
empty,at homee. bored plzz! someone txt me about doing something this weekend.
sadness,"Oh whoops, my bad"
love,Happy mothers day mumm xoxo
neutral,"Here are some that other tweeple recommend to me: www.audiomicro.com , ,"
surprise,DUDE WHAT? I WANNNNAAAA GOOOOOO
happiness,"Mmm, comfort junk food. That sounds good. I always preferred Wingstop"
neutral,ohh no the poor cupcake #wave
happiness,YES!! cant wait. hope these vip passes help since people already campin out hahah
worry,"yep, probably will be... wish you had let me know you were interested... had extra corporate chalet tix and let them go"
neutral,MOTHER'S DAY LUNCH
happiness,just got back from cheescake factory boy oh boy are my guts stuffed
surprise,"I know people say that power naps are good for you all the time, but I kinda always miss the alarm"
fun,ahahahaha you love Twilight don't liee!!! and we all know I love Robert Pattinson!!
happiness,we get so bored with routine.. lol!
surprise,Loll whats boyfriend #2 supposed to mean then? its to cold
surprise,Sometimes I wish I had my own Prototype mentor.
happiness,playing with on a cool new website... hopefully ready very soon
worry,Just dropped my new mobile down the loo. Fingers crossed it works as I still have 17.5mths left on the contract
hate,Aaaaaaaa!! I hate fucking winshit!!
boredom,I'm sitting in the bus to dublin And listen tokio hotel-reden.And i must laugh.you know why
neutral,Im craving some cinnamon toast crunch. Why is it so cold today!!
fun,gooood we miss you!! hope you had fun w/the in-laws haha
worry,"I tried registering on the website. No go, I get an error with all 4 browsers. Firefox, chrome, ie, safari."
happiness,family bbq today &amp; my fave cousin comes too
neutral,!!!! glad you're alright!
sadness,I am tired.
empty,cleaning and packing
neutral,having Bigi &amp; Tokyo Fashion Spree tmr Check out SIH web ^____^
fun,I am so full. No more food tonight... I don't want no cake and ice cream at this party.
neutral,Shoe shopping but out of luck. They don't have a size 5 in anything I want!
sadness,Sorry I can not reach either URL
love,congrats! Photo of dre?
love,4 hours till Mothers Day Party Yeah!
sadness,"aww thats wikid, i need to book myne again sooon miss you to lovely!! im off ned some brekkie.. speak soon dudde xxx"
worry,Oh no she stopped!
happiness,gooodmorning people of earth!
surprise,"I got so much gray hair all of a sudden. I just ordered me some Garnier Roasted Coffee from drugstore.com, well see how that goes."
happiness,I just want to watch my Naruto Shippuuden missed episodes.
worry,Thank you for the follow Looking forward to your tweets...
hate,Ugh.. this sucks.
neutral,I just woke up a little while ago i did sleep a couple of hours lol i'm wide awake now
happiness,"Haha, nice! ;) Thanks for letting me know!"
neutral,i meant i cnt help but stop chattin wid her..... gud dat u noe everything.... so do u think its fair????
worry,ah seriously i dont even work with children some how i am still sick! groundhog friday just got worse.
neutral,"be clear, I am Catholic, but wholeheartedly agree with you. (&quot;Same here&quot; was ambiguous) #tcot #hhrs"
love,shes so cute when shes sleepy
happiness,"I just got through doing my work now I can take the whole day off, its great being your own boss"
worry,and i think you should come home now
relief,checking iDestroy sales.... sales are good
neutral,It's time to face the truth - expat Indians are practically Americans.
empty,this is absurd ! I feel like a dipping in the pool real quick . its too bad i dont have a poool
neutral,morning
sadness,- don't feel bad. I got a foad for a promotion here too.
empty,Glenna is bored but glad that it is a beautiful day. Macy went swimming and Kris played golf while I sat at home waiting for them
happiness,is thrilled prom went well
worry,stilll awakee :] and its 3am
neutral,chillen trying to figure this thing out gettin drunk
worry,Chauncey is giving his last sac speech...
enthusiasm,Welcome to my network buddies
worry,OK its official I&quot;M OLD! at least I feel likewise OLD &amp; TIREDD &amp; WASTED!!
worry,Ahhhhhh I got stitches I seriously cant wait to go to the beach! SUMMER HURRY UP!!!!!!
worry,Just got past really bad crash.........car was mangled
surprise,"I tried sooooo hard to work from home today, but failed Not my fault though."
happiness,LOL yeah I forgot about your TweetDeck statuses! So funny
worry,"yeah, that does sound a bit bad man... i got fucking exam week this week"
surprise,Had a gr8 Sunday relaxing enjoying the beautiful weather. Good nite
sadness,"Probably not, kinda expensive and we have to work. Most people have off weekends, we work."
relief,I feel better today.
happiness,"Haha,I just may do that,yo!"
neutral,What phone do you have -- an old rotary?
happiness,"LOL...oh, man, can I un-twit something? haha! I mean my lean mean fighting machine. I sooo can't believe you called me out!"
hate,I think you need to define what you mean by 'clue'. Won't be at WWDC this year
worry,lol.. that's worrying
neutral,This Twittername is hosted by TwitterFridge. Email us if you want us to open the Fridge Check: www.twitterfridge.com
relief,Thank you! I appreciate that.
neutral,mean
sadness,"on my 42nd written fuck.. i get less ideas every day, and every day"
happiness,"Happy Birthday! What's better than getting birthday greetings from strangers? Very little, that's what! (I kid!) &lt;3"
neutral,Getting ready for work.
worry,help! anyone know if there are stores that carry blackberry trackballs? just went to verizon retailer; no luck. do not want to order one
neutral,Naw forget it then. I will only if u take them
sadness,"Getting used to getting up in the cold, but my asthma is paying for it."
surprise,Not ah huge fan of getting up in the middle of the night to change peed sheets and underpants.
sadness,I'm dead bored. but also dead poor! Student life is a piss take!
neutral,"hi ruby, u said u were painting yesterday (i think, lose track of time) what are you painting? can we know the concept/subject?"
neutral,nice one what do you suggest I order there?
love,oh great.
love,someone's a sweet tooth i was dying for somethin sweet so i've attacked the chock coated tiny teddies all i could find lol
happiness,Hey everybody! hah this day is cool! just got back from walk with the dog... OMGosh! Send me the link again please!
worry,Ha we made it safely home
neutral,Hello there hope your over your flu now
neutral,i'm afraid im def. a product of the NRI Karan Johar generation- I've been watching a lot of classics this semester
surprise,Your birthday? WELL Happy birthday
worry,"I feel rather cheery, despite being stuck indoors all day revising"
happiness,It's raining that fine rain!!! U know the fine rain that wets you the most
sadness,RAIN why must you come &quot;after&quot; I flat iron my hair? I have been rockin my curls for 3 weeks and today you decide to come out. not nice!
sadness,Aw one of our fishies died
surprise,does not know hot twitter works
happiness,ohhh yea it is from the same film and this one had been a fave for a longgggg time... any1 for humma humma?
neutral,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic"
